Words	Exact	CMS	Abs_Err	Rel_Err	Rel_Err_Mean
calmer	2	12	10	5.0
calmez	1	15	14	14.0
calmezvous	2	15	13	6.5
calmrent	1	26	25	25.0
calomniateurs	1	4	3	3.0
calomnie	1	14	13	13.0
calotte	2	21	19	9.5
calvinisme	1	13	12	12.0
calvinistes	1	10	9	9.0
camarade	14	36	22	1.5714285714285714
camarades	23	36	13	0.5652173913043478
camille	1	5	4	4.0
camp	47	84	37	0.7872340425531915
campa	1	20	19	19.0
campagne	34	56	22	0.6470588235294118
campagnes	1	5	4	4.0
camrire	1	13	12	12.0
camriste	1	8	7	7.0
can	10	25	15	1.5
canaille	2	8	6	3.0
canap	2	18	16	8.0
candeur	1	15	14	14.0
candidat	1	10	9	9.0
candide	1	21	20	20.0
canne	4	14	10	2.5
cannot	4	17	13	3.25
canon	13	29	16	1.2307692307692308
canonnade	1	17	16	16.0
canons	1	14	13	13.0
canot	7	17	10	1.4285714285714286
capable	5	16	11	2.2
capables	1	16	15	15.0
caparaon	2	12	10	5.0
caparaons	1	10	9	9.0
capitaine	61	68	7	0.11475409836065574
capitaines	2	19	17	8.5
capital	1	30	29	29.0
capitale	7	10	3	0.42857142857142855
capitulation	1	16	15	15.0
caprice	6	15	9	1.5
caprices	1	4	3	3.0
capricieuse	1	14	13	13.0
capricieux	2	7	5	2.5
capter	2	13	11	5.5
captifs	1	11	10	10.0
captive	2	8	6	3.0
captivit	19	40	21	1.105263157894737
capuchon	1	25	24	24.0
capucin	1	16	15	15.0
capucins	1	5	4	4.0
car	270	273	3	0.011111111111111112
caracole	1	4	3	3.0
caracoleront	1	12	11	11.0
caractre	25	31	6	0.24
caractres	2	22	20	10.0
carafe	2	8	6	3.0
carafons	1	8	7	7.0
carapace	1	9	8	8.0
caravane	1	7	6	6.0
carcasse	1	7	6	6.0
card	1	7	6	6.0
cardinal	547	556	9	0.016453382084095063
cardinalduc	2	22	20	10.0
cardinalesques	1	10	9	9.0
cardinaliste	8	20	12	1.5
cardinalistes	2	14	12	6.0
cardinaux	2	15	13	6.5
cardons	1	7	6	6.0
caressait	2	17	15	7.5
caressant	1	14	13	13.0
caressante	2	10	8	4.0
caresse	1	5	4	4.0
caresses	2	8	6	3.0
carmes	2	6	4	2.0
carmesdchausss	1	23	22	22.0
carmesdeschaux	3	22	19	6.333333333333333
carmin	1	8	7	7.0
carmlites	9	32	23	2.5555555555555554
carpes	1	11	10	10.0
carr	2	14	12	6.0
carre	3	6	3	1.0
carreau	2	15	13	6.5
carreaux	8	25	17	2.125
carrefour	2	3	1	0.5
carrefours	1	9	8	8.0
carrire	2	31	29	14.5
carrosse	24	39	15	0.625
carrosses	2	7	5	2.5
carrousels	1	9	8	8.0
carry	1	8	7	7.0
cart	5	12	7	1.4
carta	1	11	10	10.0
carte	6	10	4	0.6666666666666666
cartel	2	11	9	4.5
carter	2	17	15	7.5
cartes	2	8	6	3.0
cartezvous	1	13	12	12.0
cartons	1	12	11	11.0
cartouches	3	22	19	6.333333333333333
carts	1	4	3	3.0
cas	59	66	7	0.11864406779661017
casaque	13	25	12	0.9230769230769231
caserne	2	18	16	8.0
cass	3	14	11	3.6666666666666665
cassa	2	16	14	7.0
casse	2	8	6	3.0
casser	4	11	7	1.75
casseroles	4	19	15	3.75
casses	2	19	17	8.5
cassette	2	9	7	3.5
castres	1	17	16	16.0
casuiste	2	14	12	6.0
catafalques	1	6	5	5.0
catalogue	1	30	29	29.0
catastrophes	2	24	22	11.0
catgoriquement	1	6	5	5.0
catholique	16	21	5	0.3125
